id,number,month,initial_amount,price,currency,client_code,authorized_withdrawal_person,document_url,is_archived,validated_at,granted_at,validated_by,granted_by,created_at,updated_at,created_by,updated_by
190347c6-ec96-4c88-9f1f-6b57415e4f0f,CRT06-084A3-2489/2026,07/2026,20000.00,2000.00,1,CL06-084A3-5123/2026,,,false,,2026-06-29 16:18:55+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-06-29 16:18:55+00,2026-09-01 14:19:48.463018+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
19a8f6d3-e450-4f8d-b899-68c5af3f69f9,CRT07-084A3-4182/2026,07/2026,10000.00,2000.00,1,CL06-084A3-4683/2026,,,true,,2026-07-14 12:33:26+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-07-14 12:33:26+00,2026-08-21 08:35:42.772323+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1ac8b42a-fcda-4247-baba-0f4cd07ab1b0,CRT07-09690-2931/2026,07/2026,12000.00,2000.00,1,CL07-09690-1361/2026,,,false,,2026-07-17 12:18:38+00,,d3b61f5e-fb50-4b45-be9f-10c2d7139690,2026-07-17 12:18:38+00,2026-07-22 18:00:49.934559+00,d3b61f5e-fb50-4b45-be9f-10c2d7139690,
1af18337-e7f2-4666-b7f2-31a0259931bf,CRT06-084A3-7459/2026,06/2026,20000.00,2000.00,1,CL06-084A3-1984/2026,,,true,,2026-06-18 16:26:46+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-06-18 16:26:46+00,2026-08-21 08:35:17.600642+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1b33c77c-fa31-4674-9416-1620c496d44e,CL03-09815-8973/2026,03/2026,5000.00,1000.00,1,CL03-09815-8973/2026,,,true,,2026-03-09 20:33:51+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-03-09 20:33:51+00,2026-07-23 12:45:26.253307+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1c2b4f99-a544-46f5-bc4f-115cfbd13ea0,CRT05-09815-5553/2026,06/2026,5000.00,2000.00,1,CL05-09815-9719/2026,,,true,,2026-05-30 14:13:04+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-30 14:13:04+00,2026-07-12 18:22:40.114217+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1d19fade-1cca-4738-bdf3-a69b9a1a4d35,CRT08-084A3-6561/2026,08/2026,10000.00,2000.00,1,CL06-084A3-8998/2026,,,true,,2026-08-18 17:10:29+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-18 17:10:29+00,2026-09-01 13:02:32.577362+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1d5a0918-e7f5-4091-8f7b-037c53200c8b,CL03-09815-7460/2026,03/2026,10000.00,1000.00,1,CL03-09815-7460/2026,,,true,,2026-03-02 16:01:35+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-03-02 16:01:35+00,2026-07-23 11:26:35.672591+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1e754df1-ca07-4060-ba55-12de1e010cec,CRT07-084A3-7059/2026,08/2026,60000.00,2000.00,1,CL06-084A3-7991/2026,,,false,,2026-07-24 13:30:29+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-07-24 13:30:29+00,2026-09-01 14:20:34.050558+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
1ee6377e-7f7a-4c1a-a441-8526efb90564,CRT05-09815-6120/2026,05/2026,10000.00,2000.00,1,CL05-09815-2280/2026,,,true,,2026-05-08 14:01:00+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-08 14:01:00+00,2026-07-12 18:53:23.878722+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1f939f96-a4fa-416b-a789-07df3d282a2b,CRT05-09815-8628/2026,05/2026,20000.00,2000.00,1,CL04-09815-9645/2026,,,true,,2026-05-01 18:27:09+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-01 18:27:09+00,2026-07-12 19:27:57.102303+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
